barrio;ley;identificacion;circunscripcion;seccion;manzana;parcela;division;tipo_unidad;nrounidad;partidaunidad;digitoverificador;tipoplano;valuacionfiscal;nueva;mtstotales;mtscubiertos;habilitado
CABA;2095;AV. RAFAEL OBLIGADO 7010;;;;;AV. RAFAEL OBLIGADO 7010;Comercial;1;;;;0;N;0;0;S
CABA;2095;AV. RAFAEL OBLIGADO 7099;;;;;PARQUE DE LA MEMORIA;Legal;1;;;;;S;;;S
CABA;2095;AV. SAN JUAN 350;;;;;MUSEO DE ARTE MODERNO;Comercial;1;;;;0;N;0;0;S
CABA;2095;AV. SANTA FE 4407/19;;;;;ESTACIONAMIENTO;Comercial;1;;;;0;N;0;0;S
CABA;2095;AV. SANTA FE 730;;;;;AV. SANTA FE 730;Comercial;1;;;;0;N;0;0;S
CABA;2095;AV. SARMIENTO 2720;;;;;AV. SARMIENTO 2720;Comercial;1;;;;0;N;0;0;S
CABA;2095;AV. TRISTAN ACHAVAL RODRIGUEZ 1381;;;;;QUATERMIX 1170;Comercial;1;;;;0;N;0;0;S
CABA;2095;AVENTURA EMPRENDIMIENTO 94;;;;;AVENTURA EMPRENDIMIENTO 94;Comercial;1;;;;0;N;0;0;S
CABA;2095;AZCUENAGA Y PUEYRREDON;;;;;AZCUENAGA Y PUEYRREDON;Comercial;1;;;;0;N;0;0;S
CABA;2095;Administradora de playas 1156;;;;;Administradora de playas 1156;Comercial;1;;;;0;N;0;0;S
CABA;2095;Amalta 1198;;;;;Amalta 1198;Comercial;1;;;;0;N;0;0;S
CABA;2095;Andrés Bello 5950;;;;;Andrés Bello 5950;Comercial;1;;;;;S;;;S
CABA;2095;Applus Iteuve Argentina 1104;;;;;Applus Iteuve Argentina 1104;Comercial;1;;;;0;N;0;0;S
CABA;2095;Applus Iteuve Argentina 1105;;;;;Applus Iteuve Argentina 1105;Comercial;1;;;;0;N;0;0;S
CABA;2095;Applus Iteuve Argentina S.A.;;;;;1263;Comercial;1263;;;;;S;;;S
CABA;2095;Asoc. Civil Club Sportivo Barracas 1083;;;;;Asoc. Civil Club Sportivo Barracas 1083;Comercial;1;;;;0;N;0;0;S
CABA;2095;Asoc. Mutual Conductores Automoviles (AMCA)  1082;;;;;Asoc. Mutual Conductores Automoviles (AMCA)  1082;Comercial;1;;;;0;N;0;0;S
CABA;2095;Av. Carabobo 897;;;;;Av. Carabobo 897;Comercial;1;;;;0;N;0;0;S
CABA;2095;Av. Corrientes 436;;;;;Av. Corrientes 436;Comercial;1;;;;;S;;;S
CABA;2095;Av. Costanera Dr. Tristán Achával Rodríguez 1353t;21;98;59;2;1;Comercial;1;;;;;S;;;S
CABA;2095;"Av. Díaz Vélez 5044 local del Hospital de Agudos ""Carlos G. Durand""";;;;;"Av. Díaz Vélez 5044 local del Hospital de Agudos ""Carlos G. Durand""";Comercial;1;;;;;S;;;S
CABA;2095;Av. Huergo 1330;;;;;Av. Huergo 1330;Comercial;1;;;;0;N;0;0;S
CABA;2095;Av. Jujuy 1351, 1353, 1355 y 1357 BAU1;;;;;Av. Jujuy 1351, 1353, 1355 y 1357;Comercial;1;;;;;S;;;S
CABA;2095;Av. Montes de Oca 40 local del Hospital Gral de Niños Pedro Elizalde;;;;;Av. Montes de Oca 40 local del Hospital Gral de Niños Pedro Elizalde;Comercial;1;;;;;S;;;S
CABA;2095;Av. Pedro de Mendoza Entre Blanes y Benito Pérez Galdós;;;;;Av. Pedro de Mendoza Entre Blanes y Benito Pérez Galdós;Comercial;1;;;;;S;;;S
CABA;2095;Av. de Mayo 575;;;;;Casa de la Cultura;Comercial;1;;;;;S;;;S
CABA;2095;B.R.D. 667;;;;;B.R.D. 667;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISA 1-141 B (Peones de Taxis)  590;;;;;BAJO AUTOPISA 1-141 B (Peones de Taxis)  590;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA - PREDIO 174 1203;;;;;BAJO AUTOPISTA - PREDIO 174 1203;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1 - 134 C  1172;;;;;BAJO AUTOPISTA 1 - 134 C  1172;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1 - Sarandí y Combate de los Pozos 1021;;;;;BAJO AUTOPISTA 1 - Sarandí y Combate de los Pozos 1021;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-104 A (Caras Sucias)  531;;;;;BAJO AUTOPISTA 1-104 A (Caras Sucias)  531;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-109 544;;;;;BAJO AUTOPISTA 1-109 544;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-112 (UTHGRA)  547;;;;;BAJO AUTOPISTA 1-112 (UTHGRA)  547;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-120 B  560;;;;;BAJO AUTOPISTA 1-120 B  560;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-134 B 994;;;;;BAJO AUTOPISTA 1-134 B 994;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-137 (APANOVI) 585;;;;;BAJO AUTOPISTA 1-137 (APANOVI) 585;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-142  591;;;;;BAJO AUTOPISTA 1-142  591;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-143 A  593;;;;;BAJO AUTOPISTA 1-143 A  593;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-143 B 594;;;;;BAJO AUTOPISTA 1-143 B 594;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-146  597;;;;;BAJO AUTOPISTA 1-146  597;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-149 (Homero Manzi)  602;;;;;BAJO AUTOPISTA 1-149 (Homero Manzi)  602;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-156  612;;;;;BAJO AUTOPISTA 1-156  612;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-157 613;;;;;BAJO AUTOPISTA 1-157 613;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-159 E - Galería Emilio Mitre 1161;;;;;BAJO AUTOPISTA 1-159 E - Galeria Emilio Mitre 1161;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-159 P - Local 27 Complejo Emilio Mitre 1162;;;;;BAJO AUTOPISTA 1-159 P - Local 27 Complejo Emilio Mitre 1162;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-163 B 647;;;;;BAJO AUTOPISTA 1-163 B 647;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-166 B 653;;;;;BAJO AUTOPISTA 1-166 B 653;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-169 (Bonorino-Membrillar)  655;;;;;BAJO AUTOPISTA 1-169 (Bonorino-Membrillar)  655;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-172 A  658;;;;;BAJO AUTOPISTA 1-172 A  658;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 1-175 (Culpina-Pillado) 663;;;;;BAJO AUTOPISTA 1-175 (Culpina-Pillado) 663;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 6 - 122 (UOCRA) 1225;;;;;BAJO AUTOPISTA 6 - 122 (UOCRA) 1225;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 6 - 608 A 249;;;;;BAJO AUTOPISTA 6 - 608 A 249;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 6 - 608 B 251;;;;;BAJO AUTOPISTA 6 - 608 B 251;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 6 - 611 B 257;;;;;BAJO AUTOPISTA 6 - 611 B 257;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 6 - 614 A  262;;;;;BAJO AUTOPISTA 6 - 614 A  262;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 6 - 624 B  277;;;;;BAJO AUTOPISTA 6 - 624 B  277;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 6-605 A  (Chascomus-Rodo)  802;;;;;BAJO AUTOPISTA 6-605 A  (Chascomus-Rodo)  802;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 6-609 C - Zelada y Caravajilla 1155;;;;;BAJO AUTOPISTA 6-609 C - Zelada y Caravajilla 1155;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAJO AUTOPISTA 9-910 1016;;;;;BAJO AUTOPISTA 9-910 1016;Comercial;1;;;;0;N;0;0;S
CABA;2095;BAR AND CO S.A.S.;;;;;1;Comercial;1;;;;;S;;;S
CABA;2095;BASILIA RAFAELA BARTOLOMEO 1045;;;;;BASILIA RAFAELA BARTOLOMEO 1045;Comercial;1;;;;0;N;0;0;S
CABA;2095;BEATRIZ ADELINA IGLESIAS 714;;;;;BEATRIZ ADELINA IGLESIAS 714;Comercial;1;;;;0;N;0;0;S
CABA;2095;BEERCHEBONCHE S.A.;;;;;AV. FERNANDEZ DE LA CRUZ 4000 CABA;Comercial;1;;;;;S;;;S
CABA;2095;BORDER´S PARKING SRL;;;;;PLAZA VICENTE LOPEZ Y PLANES  PLAZOLETA E. UDAONDO PLAZOLETA BLAS PARERA;Comercial;1;;;;;S;;;S
CABA;2095;BRD 82;;;;;BRD 82;Comercial;1;;;;0;N;0;0;S
CABA;2095;BREWDA CONSTRUCCIONES 788;;;;;BREWDA CONSTRUCCIONES 788;Comercial;1;;;;0;N;0;0;S
CABA;2095;BRINKS ARGENTINA 1086;;;;;BRINKS ARGENTINA 1086;Comercial;1;;;;0;N;0;0;S
CABA;2095;BUENOS AIRES ENTRETENIMIENTOS 261;;;;;BUENOS AIRES ENTRETENIMIENTOS 261;Comercial;1;;;;0;N;0;0;S
CABA;2095;Bar conf. Casa del Virrey Liniers  1123;;;;;Bar conf. Casa del Virrey Liniers  1123;Comercial;1;;;;0;N;0;0;S
CABA;2095;Bar conf. Museo  de Arte Español Larreta  1064;;;;;Bar conf. Museo  de Arte Español Larreta  1064;Comercial;1;;;;0;N;0;0;S
CABA;2095;Bar conf. Museo de la Ciudad  1098;;;;;Bar conf. Museo de la Ciudad  1098;Comercial;1;;;;0;N;0;0;S
CABA;2095;Barbara Fernandez Caroca 1138;;;;;Barbara Fernandez Caroca 1138;Comercial;1;;;;0;N;0;0;S
CABA;2095;Barracas Urbano 1226;;;;;Barracas Urbano 1226;Comercial;1;;;;0;N;0;0;S
CABA;2095;"Benito Pérez Galdós 12/36/38 ""Usina del Arte"" Leg 1271";;;;;"Benito Pérez Galdós 12/36/38 ""Usina del Arte"" Leg 1271";Comercial;1;;;;;S;;;S
CABA;2095;Bernardo de Irigoyen 1526/1572;;;;;Bernardo de Irigoyen 1526/1572;Comercial;1;;;;;S;;;S
CABA;2095;Blue Night SRL 1242;;;;;Blue Night SRL 1242;Comercial;1;;;;;S;;;S
CABA;2095;Bonorino 890 / Recuero 2145;;;;;Bonorino 890 / Recuero 2145;Comercial;1;;;;;S;;;S
CABA;2095;Brandyclub 1090;;;;;Brandyclub 1090;Comercial;1;;;;0;N;0;0;S
CABA;2095;Brewda Construcciones 1153;;;;;Brewda Construcciones 1153;Comercial;1;;;;0;N;0;0;S
CABA;2095;Buenos Aires Arena 1234;;;;;Buenos Aires Arena 1234;Comercial;1;;;;0;N;0;0;S
CABA;2095;C.R.V. 577;;;;;C.R.V. 577;Comercial;1;;;;0;N;0;0;S
CABA;2095;C.R.V. 581;;;;;C.R.V. 581;Comercial;1;;;;0;N;0;0;S
CABA;2095;CAFFARELLA DAMIAN ALBERTO;;;;;SAN PEDRITO 1050 CABA;Comercial;1;;;;;S;;;S
CABA;2095;CANTEN 610;;;;;CANTEN 610;Comercial;1;;;;0;N;0;0;S
CABA;2095;CARLOS BURZOMI 726;;;;;CARLOS BURZOMI 726;Comercial;1;;;;0;N;0;0;S
CABA;2095;CARLOS GALLEGO 1062;;;;;CARLOS GALLEGO 1062;Comercial;1;;;;0;N;0;0;S
CABA;2095;CARLOS GUTIERREZ 665;;;;;CARLOS GUTIERREZ 665;Comercial;1;;;;0;N;0;0;S
CABA;2095;CARLOS HUMBERTO POMETTI 715;;;;;CARLOS HUMBERTO POMETTI 715;Comercial;1;;;;0;N;0;0;S
CABA;2095;CARLOS HUMBERTO POMETTI 716;;;;;CARLOS HUMBERTO POMETTI 716;Comercial;1;;;;0;N;0;0;S
CABA;2095;CARLOS MARIA SCHWICK 109;;;;;CARLOS MARIA SCHWICK 109;Comercial;1;;;;0;N;0;0;S
CABA;2095;CASTCOMERCIAL 265;;;;;CASTCOMERCIAL 265;Comercial;1;;;;0;N;0;0;S
CABA;2095;CASTRO BARROS  1225/37/39/41;;;;;CASTRO BARROS  1225/37/39/41;Comercial;1;;;;0;N;0;0;S
CABA;2095;CATALINA EDITH LEDESMA 142;;;;;CATALINA EDITH LEDESMA 142;Comercial;1;;;;0;N;0;0;S
CABA;2095;CATALINA ELENA FONTICHELLI 478;;;;;CATALINA ELENA FONTICHELLI 478;Comercial;1;;;;0;N;0;0;S
CABA;2095;CEMIC 60;;;;;CEMIC 60;Comercial;1;;;;0;N;0;0;S
CABA;2095;CENTRO COSTA SALGUERO;;;;;CENTRO COSTA SALGUERO;Comercial;1;;;;;S;;;S
CABA;2095;CENTRO COSTA SALGUERO;;;;;DIARIA;Comercial;1;;;;;S;;;S
CABA;2095;CENTRO COSTA SALGUERO;;;;;DIARIA DEL 09/06 AL 14/06;Comercial;1;;;;;S;;;S
CABA;2095;CENTRO COSTA SALGUERO;;;;;DIARIA DEL 30/06 AL 05/07;Comercial;1;;;;;S;;;S
CABA;2095;CENTRO CULTURAL 25 DE MAYO;;;;;EXPENDIO COMIDAS Y BEBIDAS;Comercial;1;;;;;S;;;S
CABA;2095;CENTRO METROPOLITANO DE DISEÑO;;;;;GASTRONOMICO;Comercial;1;;;;;S;;;S
CABA;2095;CESAR AVALLONE 1036;;;;;CESAR AVALLONE 1036;Comercial;1;;;;0;N;0;0;S
CABA;2095;CESPEDES LIBROS SAS;19;11;40;1;JUNIN 1930;Comercial;1;;;;;S;;;S
CABA;2095;CHARCAS ENTRE J. SALGUERO  Y AV CNEL DIAZ;;;;;CHARCAS ENTRE J. SALGUERO  Y AV CNEL DIAZ;Comercial;1;;;;0;N;0;0;S
CABA;2095;CIPRIANO LUCERO 28;;;;;CIPRIANO LUCERO 28;Comercial;1;;;;0;N;0;0;S
CABA;2095;CIUCOR 993;;;;;CIUCOR 993;Comercial;1;;;;0;N;0;0;S
CABA;2095;CLUB ARGENTINO DE KARTING ASOCIACION CIVIL 786;;;;;CLUB ARGENTINO DE KARTING ASOCIACION CIVIL 786;Comercial;1;;;;0;N;0;0;S
CABA;2095;CLUB DE GIMNASIA Y ESGRIMA DE ITUZAINGÓ SOCIEDAD CIVIL 1186;;;;;CLUB DE GIMNASIA Y ESGRIMA DE ITUZAINGÓ SOCIEDAD CIVIL 1186;Comercial;1;;;;0;N;0;0;S
CABA;2095;COMPLEJO COSTA SALGUERO;;;;;PREDIO N° 17-18;Comercial;1;;;;;S;;;S
CABA;2095;COMPLEJO COSTA SALGUERO;;;;;PREDIO N°15;Comercial;1;;;;;S;;;S
CABA;2095;COMPLEJO COSTA SALGUERO;;;;;PREDIO N°19;Comercial;1;;;;;S;;;S
CABA;2095;COMPLEJO COSTA SALGUERO;;;;;PREDIO N°21;Comercial;1;;;;;S;;;S
CABA;2095;COMPLEJO COSTA SALGUERO;;;;;PREDIO N°22;Comercial;1;;;;;S;;;S
CABA;2095;COMPLEJO COSTA SALGUERO;;;;;PREDIO N°23-24;Comercial;1;;;;;S;;;S
CABA;2095;COMPLEJO COSTA SALGUERO;;;;;PREDIO N°4;Comercial;1;;;;;S;;;S
CABA;2095;COMPLEJO COSTA SALGUERO;;;;;PREDIO N°7;Comercial;1;;;;;S;;;S
CABA;2095;COMPLEJO COSTA SALGUERO;;;;;PREDIO N°8;Comercial;1;;;;;S;;;S
CABA;2095;CONFIT 1160;;;;;CONFIT 1160;Comercial;1;;;;0;N;0;0;S
CABA;2095;CONFIT 1175;;;;;CONFIT 1175;Comercial;1;;;;0;N;0;0;S
CABA;2095;CONFIT 1176;;;;;CONFIT 1176;Comercial;1;;;;0;N;0;0;S
CABA;2095;CONSORCIO CMI 1095;;;;;CONSORCIO CMI 1095;Comercial;1;;;;0;N;0;0;S
CABA;2095;COOPERATIVA DE TRABAJO  533;;;;;COOPERATIVA DE TRABAJO  533;Comercial;1;;;;0;N;0;0;S
CABA;2095;COOPERATIVA DE TRABAJO  536;;;;;COOPERATIVA DE TRABAJO  536;Comercial;1;;;;0;N;0;0;S
CABA;2095;COOPERATIVA DE TRABAJO ALTAS CIMAS LIMITADA;3;16;87;3;LIMA, JUAN DE GARAY Y AV BRASIL;Comercial;1;;;;;S;;;S
CABA;2095;CRIBA 946;;;;;CRIBA 946;Comercial;1;;;;0;N;0;0;S
CABA;2095;Caffarella Damian Alberto - Emilio Mitre 955;;;;;Emilio Mitre 955;Comercial;1;;;;;S;;;S
CABA;2095;Café del Centro  996;;;;;Café del Centro  996;Comercial;1;;;;0;N;0;0;S
CABA;2095;Canchas de tenis (Obras Sanitarias de la Nación) 352;;;;;Canchas de tenis (Obras Sanitarias de la Nación) 352;Comercial;1;;;;0;N;0;0;S
CABA;2095;Casa Jóven 1152;;;;;Casa Jóven 1152;Comercial;1;;;;0;N;0;0;S
CABA;2095;Centro Cultural Recoleta - Edificio Cronopios 794;;;;;Centro Cultural Recoleta - Edificio Cronopios 794;Comercial;1;;;;0;N;0;0;S
CABA;2095;Centro Cultural Recoleta 147;;;;;Centro Cultural Recoleta 147;Comercial;1;;;;0;N;0;0;S
CABA;2095;Centro Cultural San Martín;;;;;Playa de estacionamiento subterranea;Comercial;1;;;;0;N;0;0;S
CABA;2095;Centro Cultural San Martín;;;;;SERVICIOS GASTRONOMIGOS;Comercial;2;;;;;S;;;S
