aa_ocompra;t_ocompra;n_ocompra;aa_factura;t_factura;o_factura;aa_precepcion;t_precepcion;n_precepcion;aa_formulario;t_formulario;o_formulario;f_emision;f_autorizacion;e_firma;u_firma;f_firma;f_vencimiento_factura;importe_op;importe_pago;fh_pago;c_mediopago;e_pago;importe_factura;neto
2024;OCC;69062;2024;FCG;607423;2024;PRD;469077;2024;C41;516334;2025-02-28 00:00:00;2025-02-28 00:00:00;F;GEPEREYRA;2025-03-07 07:19:04;2025-03-12 00:00:00;33482137,22;33482137,22;2025-03-21 12:12:00;BANCO;C;33482137,22;32151112,92
2024;OCC;69065;2024;FCG;607332;2024;PRD;469095;2024;C41;516143;2025-02-27 00:00:00;2025-02-27 00:00:00;F;RGAUTO3;2025-02-28 12:27:46;2025-03-13 00:00:00;269598,78;269598,78;2025-03-21 12:11:57;BANCO;C;269598,78;260213,93
2024;OCC;68979;2024;FCG;605666;2024;PRD;468890;2024;C41;515605;2025-02-21 00:00:00;2025-02-21 00:00:00;F;RGAUTO3;2025-02-24 09:27:16;2025-03-10 00:00:00;1457848,31;1457848,31;2025-03-10 10:27:11;BANCO;C;1457848,31;1156082,16
2024;OCC;69047;2024;FCG;607219;2024;PRD;469025;2024;C41;515973;2025-02-26 00:00:00;2025-02-27 00:00:00;F;RGAUTO3;2025-02-27 13:51:52;2025-03-11 00:00:00;816115,08;816115,08;2025-03-17 12:36:28;BANCO;C;816115,08;672258,78
2024;OCC;68851;2024;FCG;604046;2024;PRD;468699;2024;C41;514904;2025-02-19 00:00:00;2025-02-19 00:00:00;F;FRANCHEL3;2025-02-19 12:41:53;2025-03-07 00:00:00;315061;315061;2025-02-20 13:26:50;BANCO;C;315061;294415,22
2024;OCC;68933;2024;FCG;604096;2024;PRD;468814;2024;C41;515060;2025-02-20 00:00:00;2025-02-20 00:00:00;F;FRANCHEL3;2025-02-20 14:15:01;2025-03-07 00:00:00;2466180,93;2466180,93;2025-03-10 10:27:09;BANCO;C;2466180,93;2295401,21
2024;OCC;68922;2024;FCG;600171;2024;PRD;468819;2024;C41;513686;2025-02-13 00:00:00;2025-02-13 00:00:00;F;PDIAZBOS;2025-02-13 16:45:51;2025-02-25 00:00:00;355806,88;355806,88;2025-02-17 13:28:33;BANCO;C;355806,88;332317,31
2024;OCC;68856;2024;FCG;604044;2024;PRD;468708;2024;C41;514901;2025-02-19 00:00:00;2025-02-19 00:00:00;F;FRANCHEL3;2025-02-19 12:41:36;2025-03-07 00:00:00;230261,42;230261,42;2025-02-20 13:26:49;BANCO;C;230261,42;215534,1
2025;OCC;20259;2025;FCG;64304;2025;PRD;48430;2025;C41;58888;2025-03-17 00:00:00;2025-03-17 00:00:00;F;FRANCHEL3;2025-03-17 15:41:53;2025-03-31 00:00:00;18351932,94;18351932,94;2025-03-25 12:50:21;BANCO;C;18351932,94;17622990,75
2025;OCC;22597;2025;FCG;92794;2025;PRD;78182;2025;C41;83788;2025-03-31 00:00:00;2025-03-31 00:00:00;F;RGAUTO3;2025-03-31 14:28:02;2025-04-15 00:00:00;20262434,26;20262434,26;2025-04-07 09:42:40;BANCO;C;20262434,26;19185853,39
2025;OCC;27622;2025;FCG;148715;2025;PRD;116899;2025;C41;135878;2025-05-12 00:00:00;2025-05-12 00:00:00;F;RGAUTO3;2025-05-13 09:08:29;2025-05-22 00:00:00;18912155,36;18912155,36;2025-05-13 11:43:21;BANCO;C;18912155,36;17971798,47
2025;OCC;27615;2025;FCG;151004;2025;PRD;116890;2025;C41;135901;2025-05-12 00:00:00;2025-05-12 00:00:00;F;RGAUTO3;2025-05-13 09:08:32;2025-05-22 00:00:00;92256,45;92256,45;2025-05-13 11:43:22;BANCO;C;92256,45;77367,48
2025;OCC;27616;2025;FCG;151019;2025;PRD;116892;2025;C41;135326;2025-05-12 00:00:00;2025-05-12 00:00:00;F;RGAUTO3;2025-05-13 09:08:26;2025-05-22 00:00:00;733175,41;733175,41;2025-05-13 11:43:19;BANCO;C;733175,41;698011,53
2025;OCC;30859;2025;FCG;174882;2025;PRD;140248;2025;C41;155746;2025-05-26 00:00:00;2025-05-28 00:00:00;F;RGAUTO3;2025-05-29 14:40:07;2025-06-06 00:00:00;14037068,88;14037068,88;2025-06-02 13:17:54;BANCO;C;14037068,88;11540997,32
2025;OCC;30794;2025;FCG;178992;2025;PRD;139544;2025;C41;165171;2025-06-02 00:00:00;2025-06-02 00:00:00;F;RGAUTO3;2025-06-03 07:49:23;2025-06-10 00:00:00;33155357,87;33155357,87;2025-06-09 11:43:29;BANCO;C;33155357,87;31505783,66
2023;OCC;92920;2023;FCG;674526;2023;PRD;500902;2023;C41;558575;2024-04-30 00:00:00;2024-04-30 00:00:00;F;FRANCHEL3;2024-05-02 10:49:41;2024-05-15 00:00:00;1426663,92;1426663,92;2024-05-21 11:33:06;BANCO;C;1426663,92;1366283,47
2023;OCC;93023;2023;FCG;673992;2023;PRD;501076;2023;C41;558065;2024-04-05 00:00:00;2024-04-08 00:00:00;F;RGAUTO3;2024-04-09 09:29:24;2024-04-19 00:00:00;665427,85;665427,85;2024-04-26 10:45:23;BANCO;C;665427,85;634723,47
2023;OCC;93057;2023;FCG;673679;2023;PRD;501120;2023;C41;557773;2024-03-25 00:00:00;2024-03-25 00:00:00;F;RGAUTO3;2024-03-25 15:26:13;2024-04-12 00:00:00;173835,16;173835,16;2024-03-27 11:22:40;BANCO;C;173835,16;160704,28
2023;OCC;93056;2023;FCG;673680;2023;PRD;501117;2023;C41;557774;2024-03-25 00:00:00;2024-03-25 00:00:00;F;RGAUTO3;2024-03-25 15:26:14;2024-04-12 00:00:00;4337006,56;4337006,56;2024-03-27 11:22:40;BANCO;C;4337006,56;3977231,44
2023;OCC;93044;2023;FCG;673653;2023;PRD;501096;2023;C41;557758;2024-03-23 00:00:00;2024-03-23 00:00:00;F;RGAUTO3;2024-03-25 15:26:00;2024-04-11 00:00:00;648900,22;648900,22;2024-03-27 15:33:30;BANCO;C;648900,22;615680,31
2024;OCC;2294;2024;FCG;3402;2024;PRD;1256;2024;C41;5920;2024-01-31 00:00:00;2024-01-31 00:00:00;F;FRANCHEL3;2024-01-31 10:10:34;2024-02-09 00:00:00;2369000;2369000;2024-02-01 12:13:04;BANCO;C;2369000;2227532
2024;OCC;30791;2024;FCG;247704;2024;PRD;193627;2024;C41;214076;2024-06-11 00:00:00;2024-06-11 00:00:00;F;RGAUTO3;2024-06-11 14:19:13;2024-06-28 00:00:00;9505,21;9505,21;2024-06-18 11:09:35;BANCO;C;9505,21;9267,58
2024;OCC;34657;2024;FCG;309124;2024;PRD;246624;2024;C41;270133;2024-07-16 00:00:00;2024-07-16 00:00:00;F;RGAUTO3;2024-07-16 12:34:42;2024-07-30 00:00:00;26936111,32;26936111,32;2024-07-22 10:20:54;BANCO;C;26936111,32;25502717,22
2024;OCC;35438;2024;FCG;329077;2024;PRD;255564;2024;C41;287956;2024-08-01 00:00:00;2024-08-01 00:00:00;F;RGAUTO3;2024-08-02 12:43:25;2024-08-15 00:00:00;2690215,32;2690215,32;2024-09-30 12:33:37;BANCO;C;2690215,32;2557603,79
2024;OCC;46733;2024;FCG;418337;2024;PRD;329600;2024;C41;361059;2024-09-23 00:00:00;2024-09-23 00:00:00;F;FRANCHEL3;2024-09-24 12:20:51;2024-10-07 00:00:00;387817,18;387817,18;2024-09-30 10:53:09;BANCO;C;387817,18;360747,37
2024;OCC;46737;2024;FCG;421323;2024;PRD;329652;2024;C41;368581;2024-09-26 00:00:00;2024-09-26 00:00:00;F;BUONVISO2;2024-09-26 10:54:31;2024-10-08 00:00:00;857811,53;857811,53;2024-09-30 10:53:10;BANCO;C;857811,53;796307,83
2024;OCC;41184;2024;FCG;360885;2024;PRD;294021;2024;C41;312244;2024-08-16 00:00:00;2024-08-16 00:00:00;F;JCGAUTO2;2024-08-16 12:13:50;2024-08-29 00:00:00;274420;274420;2024-08-19 11:38:43;BANCO;C;274420;266901,45
