aa_ocompra;n_ocompra;aa_devengado;t_devengado;n_devengado;c_numcred;c_juris;c_sjuris;c_entidad;c_programa;c_inciso;c_pprincipal;c_pparcial;c_psparcial;c_ubica_geo;i_devengado;e_devengado
2021;65638;2022;DRP;9719;46830;70;0;0;1;3;3;5;0;3;266312,63;A
2021;65639;2023;DRP;4309;46831;70;0;0;1;3;3;5;0;8;423588,32;X
2021;65639;2022;DRP;6647;46831;70;0;0;1;3;3;5;0;8;532976,65;A
2021;65639;2022;DRP;6885;46831;70;0;0;1;3;3;5;0;8;177088,04;A
2021;65639;2022;DRP;8408;46832;70;0;0;1;3;3;5;0;9;181872,21;A
2021;65640;2022;DRP;10730;57419;70;0;0;7;3;3;5;0;1;450923,38;A
2021;65642;2022;DRP;9853;57422;70;0;0;57;3;3;5;0;4;1159804,33;A
2021;65644;2022;DRP;8751;57422;70;0;0;57;3;3;5;0;4;219820,31;A
2021;65642;2022;DRP;6050;57422;70;0;0;57;3;3;5;0;4;134213,63;A
2021;65644;2022;DRP;6763;57422;70;0;0;57;3;3;5;0;4;255134,44;A
2021;65644;2022;DRP;13722;47305;70;0;0;1;3;3;5;0;4;816819,56;A
2021;65644;2022;DRP;7829;47305;70;0;0;1;3;3;5;0;4;629115,15;A
2021;65644;2022;DRP;6645;47305;70;0;0;1;3;3;5;0;4;1108575,42;A
2021;65644;2022;DRP;5121;47305;70;0;0;1;3;3;5;0;4;61541,46;A
2021;65639;2022;DRP;10238;47403;70;0;0;19;3;3;5;0;12;9098078,53;A
2021;65639;2022;DRP;9498;47403;70;0;0;19;3;3;5;0;12;9098078,53;A
2021;65644;2022;DRP;4806;46121;70;0;0;1;3;3;5;0;4;553873,12;A
2021;65644;2022;DRP;11090;46122;70;0;0;1;3;3;5;0;1;180107,25;A
2021;65639;2022;DRP;8408;46122;70;0;0;1;3;3;5;0;1;755814,21;A
2021;65644;2022;DRP;7829;46122;70;0;0;1;3;3;5;0;1;51420,64;A
2021;65644;2022;DRP;6645;46122;70;0;0;1;3;3;5;0;1;193159,39;A
2021;65644;2022;DRP;13722;46123;70;0;0;1;3;3;5;0;4;226894,32;A
2021;65644;2022;DRP;8751;46123;70;0;0;1;3;3;5;0;4;323977,02;A
2021;65641;2022;DRP;8543;46123;70;0;0;1;3;3;5;0;4;317111,55;A
2021;65641;2022;DRP;6371;46123;70;0;0;1;3;3;5;0;4;189979,43;A
2021;65643;2022;DRP;11793;46125;70;0;0;1;3;3;5;0;15;19775,45;A
2021;65643;2022;DRP;6109;46125;70;0;0;1;3;3;5;0;15;12217,24;A
2021;65639;2022;DRP;13704;46127;70;0;0;1;3;3;5;0;9;528066,95;A
2021;65644;2022;DRP;13722;46128;70;0;0;1;3;3;5;0;1;33615,83;A
2021;65639;2022;DRP;10238;46128;70;0;0;1;3;3;5;0;1;813593,84;A
2021;65638;2022;DRP;11734;46128;70;0;0;1;3;3;5;0;1;166481,71;A
2021;65644;2022;DRP;11090;46128;70;0;0;1;3;3;5;0;1;411802,2;A
2021;65645;2022;DRP;9910;46128;70;0;0;1;3;3;5;0;1;180692,27;A
2021;65645;2022;DRP;8494;46128;70;0;0;1;3;3;5;0;1;77725,81;A
2021;65645;2022;DRP;7488;46128;70;0;0;1;3;3;5;0;1;77725,81;A
2021;65644;2022;DRP;6645;46128;70;0;0;1;3;3;5;0;1;2227614,56;A
2021;65638;2022;DRP;7489;46129;70;0;0;1;3;3;5;0;2;599372;A
2021;65644;2022;DRP;11975;46130;70;0;0;1;3;3;5;0;3;13398,33;A
2021;65644;2022;DRP;8751;46130;70;0;0;1;3;3;5;0;3;39736,92;A
2021;65641;2022;DRP;9086;46131;70;0;0;1;3;3;5;0;4;69233,63;A
2021;65640;2022;DRP;8495;46133;70;0;0;1;3;3;5;0;6;123216,17;A
2021;65642;2022;DRP;12388;46137;70;0;0;1;3;3;5;0;13;753997,93;A
2021;65643;2022;DRP;11793;46139;70;0;0;1;3;3;5;0;15;139006,8;A
2021;65643;2022;DRP;6109;46139;70;0;0;1;3;3;5;0;15;85878,2;A
2021;65645;2022;DRP;9910;46141;70;0;0;3;3;3;5;0;1;794005,66;A
2021;65645;2022;DRP;7488;46141;70;0;0;3;3;3;5;0;1;341546,07;A
2021;65644;2022;DRP;6763;46141;70;0;0;3;3;3;5;0;1;2441512,92;A
2021;65640;2022;DRP;11759;59196;70;0;0;7;3;3;5;0;6;444783,51;A
2021;65640;2022;DRP;6772;59196;70;0;0;7;3;3;5;0;6;561633,86;A
2021;65640;2022;DRP;13679;59197;70;0;0;7;3;3;5;0;7;1730579,08;A
2021;65640;2022;DRP;9875;59197;70;0;0;7;3;3;5;0;7;5392369,55;A
