aa_ocompra;t_ocompra;n_ocompra;e_ocompra;fh_estado;o_ente;aa_ocompra_orig;t_ocompra_orig;n_ocompra_orig;c_procedimiento;c_numcred;c_juris;c_sjuris;c_entidad;c_inciso;c_pprincipal;c_pparcial;c_ubica_geo;i_total
2024;OCC;34332;C;2024-07-03 15:40:02;32321;2023;OCA;76134;220;56474;29;0;0;3;3;1;4;10357224,37
2024;OCC;34657;C;2024-07-05 15:59:36;120202;2023;OCA;76137;220;57114;29;0;0;3;3;1;1;26936111,32
2024;OCC;37876;C;2024-07-23 16:21:00;32321;2023;OCA;76141;220;56474;29;0;0;3;3;1;4;20911646,81
2024;OCC;41537;C;2024-08-13 15:21:15;32321;2024;OCC;41524;220;57114;29;0;0;3;3;1;1;79293,25
2024;OCC;42228;C;2024-08-16 11:52:34;120202;2023;OCA;76141;220;60102;20;21;0;3;3;1;1;105642,5
2024;OCC;41007;C;2024-08-09 16:56:50;311990;2023;OCA;76139;220;59357;50;0;0;3;3;1;1;6694822,92
2024;OCC;45160;C;2024-09-06 09:17:35;32848;2019;OCC;29291;220;2360;21;0;0;3;3;1;10;18957733,8
2023;OCC;47595;X;2023-06-22 10:35:27;126937;;;;220;26319;70;0;0;3;3;1;4;4191200
2022;OCC;34314;C;2022-05-13 00:14:20;216656;2019;OCA;43555;220;4749;21;0;0;3;3;5;1;179682,06
2022;OCC;54837;C;2022-08-26 13:42:57;216656;2019;OCA;43555;220;4750;21;0;0;3;3;5;2;2935162,06
2022;OCC;82353;C;2023-01-26 15:07:06;120202;2019;OCB;11597;220;4757;21;0;0;3;3;5;9;2830808,65
2022;OCC;85532;Z;2023-03-02 19:23:45;32321;2022;OCC;85510;220;65023;35;0;0;3;3;5;1;12961021,81
2023;OCC;86149;C;2023-12-07 16:07:08;83261;2023;OCC;81526;220;47218;35;0;0;3;3;5;1;140017,95
2024;OCC;68832;C;2025-02-07 13:44:41;83261;2024;OCB;16992;220;48646;35;0;0;3;3;5;1;43635854,04
2024;OCC;68651;C;2025-02-05 10:53:59;124204;2024;OCB;16992;220;48646;35;0;0;3;3;5;1;12518352,28
2023;OCC;51281;C;2023-07-20 11:34:26;120202;2021;OCB;17609;220;32884;20;30;0;3;3;5;12;14238356,22
2022;OCC;49289;C;2022-07-29 15:33:57;120202;2019;OCB;11597;220;4761;21;0;0;3;3;5;13;732499,54
2021;OCC;73255;C;2022-01-05 15:25:33;120202;2019;OCB;11597;220;3720;21;0;0;3;3;5;9;3432578,7
2022;OCC;78684;C;2023-01-03 15:54:13;120202;2019;OCB;11597;220;4759;21;0;0;3;3;5;11;41827,56
2022;OCC;85408;C;2023-03-01 11:22:19;49584;2022;OCC;85406;220;65023;35;0;0;3;3;5;1;1029211,18
2023;OCC;44993;C;2023-06-15 17:30:11;120202;2021;OCB;17609;220;32883;20;30;0;3;3;5;11;16328071,69
2023;OCC;69989;C;2023-10-03 11:06:18;33343;2023;OCB;3923;220;32338;20;30;0;3;3;5;15;1204189
2023;OCC;75839;C;2023-10-19 16:16:58;83261;2021;OCA;65643;220;59958;26;26;0;3;3;1;1;803268,68
2023;OCC;70088;C;2023-09-22 10:35:13;311990;2021;OCA;65644;220;59921;40;0;0;3;3;1;1;373097,6
2023;OCC;67532;C;2023-09-12 16:57:05;26296;2021;OCA;65640;220;59907;20;27;210;3;3;1;4;251608,5
2023;OCC;75402;C;2023-10-18 15:10:35;32321;2021;OCA;65639;220;59928;50;0;513;3;3;1;1;139290
2023;OCC;66626;C;2023-09-07 15:24:18;120202;2021;OCA;65641;220;59940;70;0;0;3;3;1;4;1226616,8
2023;OCC;72002;C;2023-09-28 16:11:10;83261;2021;OCA;65643;220;59921;40;0;0;3;3;1;1;1396699
2023;OCC;79257;C;2023-11-07 11:10:53;120202;2021;OCA;65641;220;59958;26;26;0;3;3;1;1;2893774,9
2023;OCC;79264;C;2023-11-07 11:18:19;120202;2021;OCA;65641;220;59921;40;0;0;3;3;1;1;4196442,79
2023;OCC;79507;C;2023-11-08 11:06:50;26296;2021;OCA;65640;220;59921;40;0;0;3;3;1;1;4998168,77
2023;OCC;67801;C;2023-09-13 15:53:10;311990;2021;OCA;65644;220;59928;50;0;513;3;3;1;1;1055947,41
2023;OCC;84136;C;2023-12-01 16:18:24;311990;2021;OCA;65644;220;59926;50;0;0;3;3;1;1;1282582,64
2023;OCC;79222;C;2023-11-07 10:25:18;311990;2021;OCA;65644;220;59960;26;26;0;3;3;1;4;47993307,5
2023;OCC;67527;C;2023-09-12 16:40:18;32321;2021;OCA;65639;220;59921;40;0;0;3;3;1;1;841092,82
2024;OCC;56534;C;2024-11-21 12:25:14;94546;2021;OCA;65642;220;57114;29;0;0;3;3;1;1;3651367,8
2023;OCC;58000;C;2023-07-31 16:20:38;120202;2021;OCA;65641;220;59905;20;24;0;3;3;1;4;266449,82
2023;OCC;58020;C;2023-07-31 16:54:04;120202;2021;OCA;65641;220;59940;70;0;0;3;3;1;4;516119,95
2024;OCC;54418;C;2024-11-05 16:39:36;26205;2023;OCA;76134;220;62994;20;28;0;3;3;1;1;1310627,63
2023;OCC;69522;C;2023-09-20 14:35:27;32118;2021;OCA;65638;220;59979;21;0;0;3;3;1;1;47594856,01
2025;OCC;28453;C;2025-05-07 15:17:31;32879;2023;OCA;76138;220;40003;24;0;261;3;3;1;1;2857609,78
2025;OCC;27924;C;2025-05-05 10:56:27;94546;2023;OCA;76138;220;44816;45;0;0;3;3;1;1;115803,81
2025;OCC;22656;C;2025-03-27 10:26:15;120202;2023;OCA;76135;220;44816;45;0;0;3;3;1;1;137082,95
2025;OCC;29484;C;2025-05-13 11:11:30;32118;2023;OCA;76137;220;50449;20;25;0;3;3;1;1;164466,32
2025;OCC;27938;C;2025-05-05 11:22:54;83261;2023;OCA;76140;220;44816;45;0;0;3;3;1;1;1459821,67
2024;OCC;68946;C;2025-02-13 15:53:34;26205;2023;OCA;76135;220;64579;50;0;0;3;3;1;1;196465,55
2025;OCC;27616;C;2025-04-29 17:14:40;311990;2023;OCA;76135;220;44796;60;0;0;3;3;1;1;733175,41
2024;OCC;67445;C;2025-01-24 15:27:28;32879;2023;OCA;76141;220;62492;24;0;261;3;3;1;3;2230241,3
2024;OCC;66587;C;2025-01-17 13:01:57;32321;2021;OCA;65639;220;59351;40;0;0;3;3;1;1;109960,21
2024;OCC;67357;C;2025-01-24 10:52:50;73551;2023;OCA;76141;220;59347;20;0;0;3;3;1;1;531544,39
2024;OCC;64868;C;2025-01-10 15:21:21;32321;2021;OCA;65639;220;56474;29;0;0;3;3;1;4;8063682,87
2024;OCC;68054;C;2025-01-29 15:57:13;120202;2021;OCA;65641;220;59355;31;0;0;3;3;1;1;170504,9
2024;OCC;67486;C;2025-01-24 16:46:48;32879;2023;OCA;76139;220;64579;50;0;0;3;3;1;1;1428420,51
2024;OCC;67492;C;2025-01-24 17:02:08;32879;2023;OCA;76141;220;54191;20;21;0;3;3;1;4;477648,35
2024;OCC;67595;C;2025-01-27 15:18:25;32321;2021;OCA;65639;220;59941;21;0;0;3;3;1;1;259980608,9
2024;OCC;69157;C;2025-02-14 15:37:01;73551;2023;OCA;76134;220;68143;29;0;0;3;3;1;1;1229667,23
2024;OCC;64472;C;2025-01-08 16:48:30;311990;2021;OCA;65644;220;64579;50;0;0;3;3;1;1;38020,84
2024;OCC;66720;C;2025-01-17 16:20:15;311990;2021;OCA;65644;220;67950;75;0;0;3;3;1;1;15795177,62
2024;OCC;66721;C;2025-01-17 16:20:19;311990;2021;OCA;65644;220;59357;50;0;0;3;3;1;1;6313480,56
2024;OCC;68483;C;2025-01-31 19:27:15;94546;2021;OCA;65642;220;54101;40;0;0;3;3;1;1;201286,8
2024;OCC;67295;C;2025-01-23 14:08:50;73551;2023;OCA;76141;220;61885;60;0;0;3;3;1;1;9684
2021;OCC;38566;C;2021-07-13 13:44:42;32848;2019;OCC;29291;220;30453;20;21;0;3;3;1;14;130874,5
2021;OCC;75730;C;2022-01-28 15:17:40;83261;2019;OCC;29304;220;30461;20;21;0;3;3;1;7;3118063,68
2023;OCC;50831;C;2023-07-04 17:28:49;32118;2021;OCA;65638;220;27122;70;0;0;3;3;1;4;908055,62
2021;OCC;75691;X;2022-01-28 15:14:11;83261;2019;OCC;29304;220;30461;20;21;0;3;3;1;7;3118063,68
2022;OCC;82136;C;2023-01-24 17:11:38;32321;2021;OCA;65639;220;17810;50;0;0;3;3;1;4;188864
2022;OCC;76170;C;2022-12-26 11:58:00;83261;2021;OCC;32596;220;47514;70;71;0;3;3;1;3;2269374
2022;OCC;84066;C;2023-02-14 15:39:56;76848;2021;OCA;65645;220;65024;40;0;0;3;3;1;4;34419
2022;OCC;84702;C;2023-02-24 15:22:33;76848;2021;OCA;65645;220;4096;21;0;0;3;3;1;4;96450,04
2022;OCC;84098;C;2023-02-14 16:28:15;120202;2021;OCA;65641;220;40159;70;0;0;3;3;1;4;471643,73
2022;OCC;83000;C;2023-02-01 16:07:02;311990;2021;OCA;65644;220;66653;50;0;513;3;3;1;4;21761291,56
2023;OCC;38159;C;2023-05-10 14:44:03;94546;2021;OCA;65642;220;10522;40;0;0;3;3;1;4;11607626,75
2023;OCC;92775;C;2024-03-01 09:14:41;32321;2021;OCA;65639;220;62685;45;0;0;3;3;1;1;32333
2023;OCC;34501;C;2023-04-25 10:26:26;311990;2021;OCA;65644;220;29870;20;24;0;3;3;1;4;440477,31
2023;OCC;46326;C;2023-06-14 12:26:04;311990;2021;OCA;65644;220;5833;26;0;0;3;3;1;4;2684263,38
2023;OCC;93034;C;2024-03-20 10:13:10;73551;2022;OCA;78336;220;59926;50;0;0;3;3;1;1;6131758,89
2023;OCC;93035;C;2024-03-20 10:13:11;73551;2022;OCA;78336;220;66850;70;0;0;3;3;1;1;4551145,56
2023;OCC;92918;C;2024-03-08 13:55:33;32118;2021;OCA;65638;220;59926;50;0;0;3;3;1;1;2090522,81
2023;OCC;93014;C;2024-03-18 12:35:00;32879;2023;OCA;28334;220;59921;40;0;0;3;3;1;1;678485,43
2023;OCC;92889;C;2024-03-07 10:49:04;94546;2021;OCA;65642;220;59921;40;0;0;3;3;1;1;2257699,04
2023;OCC;93046;C;2024-03-20 12:09:24;26296;2021;OCA;65640;220;59958;26;26;0;3;3;1;1;1115506
2024;OCC;50525;C;2024-10-14 15:34:17;120202;2021;OCA;65641;220;62994;20;28;0;3;3;1;1;179225,4
2024;OCC;54837;C;2024-11-07 16:11:24;32321;2023;OCA;76141;220;59349;21;0;0;3;3;1;1;3123343,9
2025;OCC;32179;C;2025-05-27 16:34:15;32321;2023;OCA;76141;220;40304;21;0;0;3;3;1;1;5011342,94
2025;OCC;35608;C;2025-06-18 16:39:10;32879;2023;OCA;76140;220;52454;21;0;0;3;3;1;1;1525293
2025;OCC;35620;C;2025-06-18 16:52:21;32879;2023;OCA;76137;220;44796;60;0;0;3;3;1;1;8099247,47
2023;OCC;86168;C;2023-12-07 17:27:15;32321;2021;OCA;65639;220;66850;70;0;0;3;3;1;1;159347381,4
2024;OCC;59638;C;2024-12-09 11:12:00;32321;2023;OCA;76141;220;63863;35;0;0;3;3;1;1;1244231,92
2024;OCC;58202;C;2024-12-02 16:34:05;311990;2023;OCA;76141;220;57114;29;0;0;3;3;1;1;624418,27
2024;OCC;61839;C;2024-12-18 12:19:46;32118;2021;OCA;65638;220;50318;55;0;0;3;3;1;1;319819,25
2024;OCC;51709;C;2024-10-18 16:20:12;311990;2021;OCA;65644;220;57114;29;0;0;3;3;1;1;751283,25
2024;OCC;49206;C;2024-10-04 13:14:09;32321;2021;OCA;65639;220;61885;60;0;0;3;3;1;1;14633579,21
2024;OCC;49216;C;2024-10-04 13:36:04;311990;2021;OCA;65644;220;61887;24;0;0;3;3;1;1;2965173,92
2024;OCC;55096;C;2024-11-08 16:11:41;32879;2023;OCA;76141;220;59941;21;0;0;3;3;1;1;553222,89
2024;OCC;55897;C;2024-11-15 12:01:19;73551;2023;OCA;76141;220;61885;60;0;0;3;3;1;1;4842
2024;OCC;54929;C;2024-11-08 12:14:39;32118;2021;OCA;65638;220;59347;20;0;0;3;3;1;1;58247,35
2024;OCC;35450;C;2024-07-11 15:43:53;94546;2023;OCA;76140;220;57114;29;0;0;3;3;1;1;627406,51
2024;OCC;37905;C;2024-07-23 16:49:01;275932;2023;OCA;76141;220;56474;29;0;0;3;3;1;4;272323
2024;OCC;41539;C;2024-08-13 15:23:13;32321;2024;OCC;41535;220;59941;21;0;0;3;3;1;1;72030225,23
2024;OCC;47377;C;2024-09-20 15:20:21;120202;2021;OCA;65641;220;60104;75;0;0;3;3;1;1;1041032
2024;OCC;42226;C;2024-08-16 11:51:11;120202;2023;OCA;76141;220;59941;21;0;0;3;3;1;1;5561279,76
2024;OCC;37335;C;2024-07-19 16:42:25;94546;2023;OCA;76140;220;57114;29;0;0;3;3;1;1;992889,93
2022;OCC;85510;Z;2023-03-02 19:20:58;32321;2022;OCC;82801;220;65023;35;0;0;3;3;5;1;12931647,73
2022;OCC;85519;Z;2023-03-02 19:28:13;83261;2022;OCC;85516;220;65023;35;0;0;3;3;5;1;621363,88
2021;OCC;72984;C;2022-01-04 12:15:17;216656;2019;OCA;43555;220;3713;21;0;0;3;3;5;2;2109565,09
2021;OCC;73255;C;2022-01-05 15:25:33;120202;2019;OCB;11597;220;3718;21;0;0;3;3;5;7;1115797,85
2022;OCC;59681;C;2022-09-21 14:23:34;216656;2019;OCA;43555;220;4751;21;0;0;3;3;5;3;795431,62
2022;OCC;82419;C;2023-01-27 06:52:29;216656;2019;OCA;43555;220;4751;21;0;0;3;3;5;3;620652,94
2022;OCC;78684;C;2023-01-03 15:54:13;120202;2019;OCB;11597;220;4757;21;0;0;3;3;5;9;2518391,07
2023;OCC;92672;C;2024-02-27 15:32:02;49584;2023;OCC;85901;220;47218;35;0;0;3;3;5;1;1431387,85
2025;OCC;20259;C;2025-03-11 12:19:27;32321;2025;OCC;19782;220;43888;35;0;0;3;3;5;1;18351932,94
2023;OCC;67724;C;2023-09-13 14:16:32;32321;2021;OCA;65639;220;59979;21;0;0;3;3;1;1;63388960,94
2023;OCC;70095;C;2023-09-22 10:48:21;311990;2021;OCA;65644;220;59928;50;0;513;3;3;1;1;568889,31
2023;OCC;79381;C;2023-11-07 15:07:07;120202;2021;OCA;65641;220;59960;26;26;0;3;3;1;4;110515214,5
2023;OCC;67154;C;2023-09-11 15:28:23;311990;2021;OCA;65644;220;59917;28;0;0;3;3;1;4;373805
2023;OCC;67144;C;2023-09-11 15:18:47;311990;2021;OCA;65644;220;59928;50;0;513;3;3;1;1;321252,84
2025;OCC;28451;C;2025-05-07 15:17:29;32879;2023;OCA;76139;220;49802;20;28;0;3;3;1;1;4314653,02
2025;OCC;22531;C;2025-03-26 15:17:15;311990;2021;OCA;65644;220;44794;50;0;513;3;3;1;1;324425
2025;OCC;22664;C;2025-03-27 10:42:00;83261;2023;OCA;76135;220;44816;45;0;0;3;3;1;1;1239695,99
2025;OCC;27620;C;2025-04-29 17:35:19;311990;2023;OCA;76138;220;44816;45;0;0;3;3;1;1;190590,52
2025;OCC;22657;C;2025-03-27 10:26:17;120202;2023;OCA;76137;220;44816;45;0;0;3;3;1;1;1081160,54
2025;OCC;29481;C;2025-05-13 11:11:28;32118;2023;OCA;76139;220;49802;20;28;0;3;3;1;1;137483,09
2025;OCC;24050;C;2025-04-08 12:34:53;32879;2023;OCA;76137;220;44816;45;0;0;3;3;1;1;597154,36
2025;OCC;27615;C;2025-04-29 17:14:38;311990;2023;OCA;76138;220;39993;50;0;0;3;3;1;1;92256,45
2024;OCC;69078;C;2025-02-13 11:25:35;32879;2023;OCA;76135;220;62492;24;0;261;3;3;1;3;24251652,81
2024;OCC;69087;C;2025-02-13 12:31:51;26205;2023;OCA;76134;220;54101;40;0;0;3;3;1;1;600672
2024;OCC;68905;C;2025-02-10 10:19:06;311990;2021;OCA;65644;220;61885;60;0;0;3;3;1;1;265176,86
2024;OCC;68922;C;2025-02-10 12:35:59;94546;2021;OCA;65642;220;59355;31;0;0;3;3;1;1;355806,88
2024;OCC;69044;C;2025-02-12 16:17:29;32321;2021;OCA;65639;220;59349;21;0;0;3;3;1;1;619896,77
2024;OCC;67348;C;2025-01-24 10:40:53;73551;2023;OCA;76141;220;50318;55;0;0;3;3;1;1;334382,86
2024;OCC;68044;C;2025-01-29 15:49:35;120202;2021;OCA;65641;220;59941;21;0;0;3;3;1;1;45403477,25
2024;OCC;67423;C;2025-01-24 14:45:17;32879;2023;OCA;76139;220;64641;50;0;0;3;3;1;1;5868429,08
2024;OCC;64474;C;2025-01-08 16:48:31;311990;2021;OCA;65644;220;50317;50;0;0;3;3;1;1;268382,4
2024;OCC;68481;C;2025-01-31 19:27:08;94546;2021;OCA;65642;220;59941;21;0;0;3;3;1;1;418120,27
2024;OCC;69184;C;2025-02-17 15:39:14;120202;2021;OCA;65641;220;54481;20;21;0;3;3;1;1;55719,05
2024;OCC;66872;C;2025-01-20 14:49:20;311990;2023;OCA;76141;220;62141;9;0;0;3;3;1;1;439479,57
2024;OCC;66877;C;2025-01-20 14:52:59;311990;2023;OCA;76141;220;59357;50;0;0;3;3;1;1;8386,95
2024;OCC;69051;C;2025-02-12 16:34:13;32118;2023;OCA;76141;220;59355;31;0;0;3;3;1;1;287485,73
2022;OCC;67485;C;2022-11-03 15:56:18;311990;2021;OCA;65644;220;63582;50;0;0;3;3;1;4;50321,7
2023;OCC;46488;C;2023-06-15 12:37:48;311990;2021;OCA;65644;220;5833;26;0;0;3;3;1;4;7385420,31
2023;OCC;46515;C;2023-06-15 13:09:29;120202;2021;OCA;65641;220;57310;26;0;0;3;3;1;1;965472
2021;OCC;72587;C;2021-12-30 15:29:44;83261;2019;OCC;29304;220;30461;20;21;0;3;3;1;7;2627257,36
2022;OCC;66964;C;2022-11-01 21:29:58;311990;2021;OCA;65644;220;63581;26;26;0;3;3;1;4;14351283,1
2022;OCC;72517;C;2022-12-02 16:40:12;94546;2021;OCA;65642;220;17806;50;0;0;3;3;1;4;176125,98
2022;OCC;72234;C;2022-12-01 15:12:05;311990;2021;OCA;65644;220;28980;20;27;210;3;3;1;4;310922
2022;OCC;82350;C;2023-01-26 15:04:03;26296;2021;OCA;65640;220;17806;50;0;0;3;3;1;4;19010,42
2022;OCC;72254;C;2022-12-01 15:34:50;311990;2021;OCA;65644;220;63582;50;0;0;3;3;1;4;303698,94
2022;OCC;84120;C;2023-02-14 17:05:09;120202;2021;OCA;65641;220;64794;45;0;0;3;3;1;4;712890,83
2022;OCC;83007;C;2023-02-01 16:37:15;311990;2021;OCA;65644;220;17806;50;0;0;3;3;1;4;25160,85
2023;OCC;43627;Z;2023-06-01 15:11:04;96905;2013;OCC;30273;220;46685;70;0;0;3;3;1;1;9541492,69
2023;OCC;45693;C;2023-06-12 14:39:38;83261;2021;OCA;65643;220;5833;26;0;0;3;3;1;4;2208082,45
2023;OCC;92890;C;2024-03-07 10:49:03;94546;2021;OCA;65642;220;59958;26;26;0;3;3;1;1;132662,61
2023;OCC;93010;C;2024-03-18 11:40:14;32879;2023;OCA;28334;220;62724;20;30;0;3;3;1;1;277171,79
2023;OCC;92972;C;2024-03-13 16:13:02;120202;2021;OCA;65641;220;66850;70;0;0;3;3;1;1;1346094,83
2023;OCC;92893;C;2024-03-07 10:49:03;94546;2021;OCA;65642;220;66850;70;0;0;3;3;1;1;56036704,81
2024;OCC;50524;C;2024-10-14 15:34:16;120202;2021;OCA;65641;220;60102;20;21;0;3;3;1;1;605517,13
