t_ocompra;aa_ocompra;n_ocompra;aa_precepcion;t_precepcion;n_precepcion;o_ente;c_unid_ejec;fh_autorizacion;fh_alta;aa_ocompra_orig;t_ocompra_orig;n_ocompra_orig;e_formulario
OCC;2023;46610;2023;PRD;192406;94546;;2023-06-15 00:00:00;2023-06-15 15:13:03;2021;OCA;65642;A
OCC;2022;72517;2022;PRD;398641;94546;;2022-12-02 00:00:00;2022-12-02 16:44:14;2021;OCA;65642;A
OCC;2022;72470;2022;PRD;398530;26296;;2022-12-02 00:00:00;2022-12-02 15:32:52;2021;OCA;65640;A
OCC;2022;82073;2022;PRD;448021;32848;;2023-01-24 00:00:00;2023-01-24 13:32:08;2021;OCC;32593;A
OCC;2022;82136;2022;PRD;448112;32321;;2023-01-24 00:00:00;2023-01-24 17:22:21;2021;OCA;65639;A
OCC;2022;82349;2022;PRD;448714;26296;;2023-01-26 00:00:00;2023-01-26 15:17:04;2021;OCA;65640;A
OCC;2022;82351;2022;PRD;448705;26296;;2023-01-26 00:00:00;2023-01-26 15:06:13;2021;OCA;65640;A
OCC;2022;76170;2022;PRD;447984;83261;;2023-01-24 00:00:00;2023-01-24 12:40:30;2021;OCC;32596;A
OCC;2022;76225;2022;PRD;447992;32848;;2023-01-24 00:00:00;2023-01-24 12:48:05;2021;OCC;32593;A
OCC;2022;76261;2022;PRD;447994;32848;;2023-01-24 00:00:00;2023-01-24 12:50:04;2021;OCC;32593;A
OCC;2022;83007;2022;PRD;450152;311990;;2023-02-01 00:00:00;2023-02-01 16:40:41;2021;OCA;65644;A
OCC;2022;83000;2022;PRD;450145;311990;;2023-02-01 00:00:00;2023-02-01 16:21:05;2021;OCA;65644;A
OCC;2022;84144;2022;PRD;451878;311990;;2023-02-15 00:00:00;2023-02-15 11:16:01;2021;OCA;65644;A
OCC;2022;84473;2022;PRD;452282;311990;;2023-02-23 00:00:00;2023-02-23 16:47:59;2021;OCA;65644;A
OCC;2022;84314;2022;PRD;452105;120202;;2023-02-17 00:00:00;2023-02-17 11:55:03;2021;OCA;65641;A
OCC;2023;38159;2023;PRD;145486;94546;;2023-05-10 00:00:00;2023-05-10 14:47:03;2021;OCA;65642;A
OCC;2023;92809;2023;PRD;500668;120202;;2024-03-04 00:00:00;2024-03-04 14:56:50;2021;OCA;65641;A
OCC;2023;40924;2023;PRD;160778;311990;;2023-05-19 00:00:00;2023-05-19 14:20:12;2021;OCA;65644;A
OCC;2023;40930;2023;PRD;160792;120202;;2023-05-19 00:00:00;2023-05-19 14:26:58;2021;OCA;65641;A
OCC;2023;93053;2023;PRD;501111;26205;;2024-03-20 00:00:00;2024-03-20 14:21:31;2022;OCA;78330;A
OCC;2023;93051;2023;PRD;501109;26205;;2024-03-20 00:00:00;2024-03-20 12:51:40;2022;OCA;78330;A
OCC;2023;93023;2023;PRD;501076;32879;;2024-03-19 00:00:00;2024-03-19 14:44:17;2023;OCA;28334;A
OCC;2023;93024;2023;PRD;501075;32879;;2024-03-19 00:00:00;2024-03-19 14:39:33;2023;OCA;28334;A
OCC;2023;93014;2023;PRD;501066;32879;;2024-03-18 00:00:00;2024-03-18 12:41:22;2023;OCA;28334;A
OCC;2023;93008;2023;PRD;501060;32879;;2024-03-18 00:00:00;2024-03-18 11:36:21;2023;OCA;28334;A
OCC;2023;92891;2023;PRD;500835;94546;;2024-03-07 00:00:00;2024-03-07 11:05:18;2021;OCA;65642;A
OCC;2023;92818;2023;PRD;500675;311990;;2024-03-04 00:00:00;2024-03-04 16:03:19;2021;OCA;65644;A
OCC;2025;30859;2025;PRD;140248;32321;;2025-05-21 00:00:00;2025-05-21 10:56:17;2023;OCA;76137;A
OCC;2025;34035;2025;PRD;172074;73551;;2025-06-10 00:00:00;2025-06-10 12:36:42;2022;OCA;78336;A
OCC;2025;32220;2025;PRD;150544;311990;;2025-05-27 00:00:00;2025-05-27 20:36:35;2023;OCA;76141;A
OCC;2025;35605;2025;PRD;180833;32879;;2025-06-18 00:00:00;2025-06-18 17:05:19;2023;OCA;76139;A
OCC;2025;35620;2025;PRD;180829;32879;;2025-06-18 00:00:00;2025-06-18 17:02:10;2023;OCA;76137;A
OCC;2024;56536;2024;PRD;412924;94546;;2024-11-21 00:00:00;2024-11-21 12:41:03;2021;OCA;65642;A
OCC;2023;84833;2023;PRD;468270;311990;;2023-12-05 00:00:00;2023-12-05 11:59:37;2021;OCA;65644;A
OCC;2024;49078;2024;PRD;360372;32321;;2024-10-03 00:00:00;2024-10-03 15:42:23;2021;OCA;65639;A
OCC;2024;49082;2024;PRD;368081;32321;;2024-10-08 00:00:00;2024-10-08 16:31:13;2021;OCA;65639;A
OCC;2024;64437;2024;PRD;459229;311990;;2025-01-08 00:00:00;2025-01-08 16:28:26;2021;OCA;65644;A
OCC;2024;64439;2024;PRD;459219;311990;;2025-01-08 00:00:00;2025-01-08 16:07:03;2021;OCA;65644;A
OCC;2024;64442;2024;PRD;459213;311990;;2025-01-08 00:00:00;2025-01-08 16:01:01;2021;OCA;65644;A
OCC;2024;49206;2024;PRD;362519;32321;;2024-10-04 00:00:00;2024-10-04 14:15:59;2021;OCA;65639;A
OCC;2024;50590;2024;PRD;374906;120202;;2024-10-14 00:00:00;2024-10-14 17:17:27;2021;OCA;65641;A
OCC;2024;51709;2024;PRD;380694;311990;;2024-10-18 00:00:00;2024-10-18 16:33:13;2021;OCA;65644;A
OCC;2024;58202;2024;PRD;421820;311990;;2024-12-02 00:00:00;2024-12-02 16:40:58;2023;OCA;76141;A
OCC;2024;58115;2024;PRD;421608;311990;;2024-12-02 00:00:00;2024-12-02 14:32:06;2023;OCA;76141;A
OCC;2024;51829;2024;PRD;381511;83261;;2024-10-21 00:00:00;2024-10-21 13:01:35;2021;OCA;65643;A
OCC;2024;54916;2024;PRD;396704;32118;;2024-11-08 00:00:00;2024-11-08 12:54:31;2021;OCA;65638;A
OCC;2024;58578;2024;PRD;426791;120202;;2024-12-04 00:00:00;2024-12-04 12:01:29;2023;OCA;76141;A
OCC;2024;55092;2024;PRD;397352;32879;;2024-11-08 00:00:00;2024-11-08 16:25:55;2023;OCA;76141;A
OCC;2024;57582;2024;PRD;419710;26296;;2024-11-28 00:00:00;2024-11-28 15:13:59;2021;OCA;65640;A
OCC;2024;46736;2024;PRD;329693;94546;;2024-09-18 00:00:00;2024-09-18 15:18:38;2021;OCA;65642;A
OCC;2024;37876;2024;PRD;267070;32321;;2024-07-23 00:00:00;2024-07-23 16:26:43;2023;OCA;76141;A
OCC;2024;41535;2024;PRD;292925;32321;;2024-08-13 00:00:00;2024-08-13 15:25:46;2024;OCC;37876;A
OCC;2024;41539;2024;PRD;292979;32321;;2024-08-13 00:00:00;2024-08-13 15:39:42;2024;OCC;41535;A
OCC;2024;48899;2024;PRD;356861;311990;;2024-10-02 00:00:00;2024-10-02 12:53:48;2021;OCA;65644;A
OCC;2024;45193;2024;PRD;312264;32118;;2024-09-06 00:00:00;2024-09-06 11:56:07;2023;OCA;76141;A
OCC;2022;85501;2022;PRD;453456;83261;;2023-03-01 00:00:00;2023-03-01 15:47:10;2022;OCC;85497;A
OCC;2022;84313;2022;PRD;452083;120202;;2023-02-17 00:00:00;2023-02-16 16:59:04;2021;OCA;65641;A
OCC;2024;68832;2024;PRD;468664;83261;;2025-02-07 00:00:00;2025-02-07 13:46:38;2024;OCB;16992;A
OCC;2024;45179;2024;PRD;312133;32118;;2024-09-06 00:00:00;2024-09-06 11:36:46;2023;OCA;76141;A
OCC;2024;42223;2024;PRD;296213;120202;;2024-08-16 00:00:00;2024-08-16 11:59:34;2023;OCA;76140;A
OCC;2024;42228;2024;PRD;296225;120202;;2024-08-16 00:00:00;2024-08-16 12:02:27;2023;OCA;76141;A
