aa_oca_original;n_oca_original;aa_precepcion;t_precepcion;n_precepcion;c_numcred;c_juris;c_sjuris;c_entidad;c_inciso;c_pprincipal;c_pparcial;c_ubica_geo;i_total;e_formulario
2021;65644;2024;PRD;147189;16793;45;0;0;3;3;5;1;292608,7;A
2021;65644;2024;PRD;147189;17002;50;0;0;3;3;5;1;1924105,12;A
2021;65644;2024;PRD;147189;29458;45;0;210;3;3;5;1;747621,03;A
2021;65644;2024;PRD;147189;30521;20;21;0;3;3;5;1;128496,89;A
2022;37659;2024;PRD;188081;9075;35;0;0;3;3;5;4;150603,3;A
2023;84680;2024;PRD;193372;38941;55;0;0;3;3;5;1;46333500;A
2019;43516;2020;PRD;196530;45816;21;0;0;3;3;5;2;5999,76;A
2019;43539;2020;PRD;196532;45813;21;0;0;3;3;5;13;103060,08;A
2021;65639;2024;PRD;151454;25529;60;0;0;3;3;5;1;718589;A
2021;65639;2024;PRD;151454;29458;45;0;210;3;3;5;1;182488,1;A
2021;65639;2024;PRD;151454;32310;20;24;0;3;3;5;1;15550716,38;A
2021;65639;2024;PRD;151454;38391;20;21;934;3;3;5;1;158731,83;A
2019;43534;2020;PRD;198084;45821;21;0;0;3;3;5;7;23287,07;A
2019;43555;2020;PRD;198087;45823;21;0;0;3;3;5;9;48638,4;A
2019;37529;2020;PRD;195300;16951;45;0;0;3;3;1;1;9019068,62;A
2014;56571;2015;PRD;930441;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;930473;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2014;PRD;716945;51215;21;0;0;3;3;5;2;2003;A
2014;56571;2014;PRD;716955;51215;21;0;0;3;3;5;2;2003;A
2014;56571;2014;PRD;716958;51215;21;0;0;3;3;5;2;2003;A
2014;56571;2014;PRD;716997;51215;21;0;0;3;3;5;2;2003;A
2020;26261;2020;PRD;239649;16955;45;0;0;3;3;1;1;620263,52;A
2021;65645;2024;PRD;443786;17002;50;0;0;3;3;5;1;193658,85;A
2021;65645;2024;PRD;443786;38391;20;21;934;3;3;5;1;63082;A
2021;65645;2024;PRD;443786;63479;45;0;0;3;3;5;4;431918,81;A
2021;65639;2024;PRD;440586;30385;20;21;0;3;3;5;1;153087,3;A
2022;37659;2024;PRD;436182;9075;35;0;0;3;3;5;4;75301,65;A
2021;65643;2024;PRD;397457;2655;21;0;0;3;3;5;1;1647089,34;A
2021;65643;2024;PRD;397457;30521;20;21;0;3;3;5;1;4983070,2;A
2022;37695;2024;PRD;418627;9075;35;0;0;3;3;5;4;524101,9;A
2022;37628;2024;PRD;418774;9075;35;0;0;3;3;5;4;771150,2;A
2014;56571;2015;PRD;443319;3673;21;0;0;3;3;5;1;2003;A
2021;65645;2024;PRD;435640;63479;45;0;0;3;3;5;4;431918,81;A
2021;65641;2024;PRD;435652;20657;55;0;0;3;3;5;1;6108199,8;A
2021;65644;2024;PRD;438288;2319;21;0;0;3;3;5;1;2196808,49;A
2021;65644;2024;PRD;438288;29458;45;0;210;3;3;5;1;747621,03;A
2021;65644;2024;PRD;426747;16793;45;0;0;3;3;5;1;119248,76;A
2019;44929;2020;PRD;250976;16951;45;0;0;3;3;1;1;2335113,69;A
2014;56571;2015;PRD;945777;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;930297;3673;21;0;0;3;3;5;1;2003;A
2014;56571;2015;PRD;930401;3673;21;0;0;3;3;5;1;2003;A
2020;46037;2021;PRD;145467;35420;26;26;0;3;3;1;4;3287413,14;A
2021;65643;2022;PRD;244938;53290;50;0;513;3;3;5;15;951794,45;A
2021;65642;2022;PRD;255635;46136;50;0;0;3;3;5;12;654289,53;A
2021;65642;2022;PRD;255635;48346;40;0;0;3;3;5;12;110320,42;A
2021;65642;2022;PRD;255635;58104;26;26;0;3;3;5;13;10195,77;A
2021;65641;2022;PRD;253040;39375;20;27;210;3;3;5;4;102148,75;A
2021;65641;2022;PRD;253040;39380;21;0;0;3;3;5;4;1207260,25;A
2021;65641;2022;PRD;253040;46121;70;0;0;3;3;5;4;1159074,38;A
2019;31815;2019;PRD;337447;59164;35;35;0;3;3;1;7;3217792,78;A
2021;32565;2022;PRD;260298;34067;26;26;0;3;3;3;4;1147557,94;A
2021;65640;2022;PRD;252117;39388;45;0;0;3;3;5;7;1674896,88;A
2021;65640;2022;PRD;252117;50942;50;0;0;3;3;5;6;135616,51;A
2021;65640;2022;PRD;252117;50948;60;0;0;3;3;5;6;33203,39;A
2021;65640;2022;PRD;198638;53245;26;26;0;3;3;5;5;1208140,97;A
2021;65640;2022;PRD;198638;53914;35;0;0;3;3;5;7;581517,8;A
2021;65644;2022;PRD;198780;56288;45;0;0;3;3;5;3;60587,54;A
2021;65639;2022;PRD;199038;53921;45;0;0;3;3;5;9;53093,2;A
2021;65639;2022;PRD;199038;54484;20;31;0;3;3;5;4;255603,06;A
2021;65644;2022;PRD;199079;47305;70;71;0;3;3;5;4;195367,87;A
2021;65638;2022;PRD;249353;53296;55;0;0;3;3;5;14;453720;A
2021;65638;2022;PRD;249353;57421;55;0;0;3;3;5;2;4818203,16;A
2021;65638;2022;PRD;249353;58250;40;0;0;3;3;5;14;76249,2;A
2021;65638;2022;PRD;249353;58906;40;0;0;3;3;5;4;71703;A
2021;65639;2022;PRD;243043;49450;26;26;0;3;3;5;1;338823,06;A
2019;43555;2019;PRD;341506;52802;35;0;0;3;3;5;1;2230540,08;A
2021;37224;2023;PRD;165935;45000;55;0;0;3;3;5;1;7949881,28;A
2021;37265;2023;PRD;166068;45000;55;0;0;3;3;5;1;9084680;A
2021;65639;2022;PRD;260792;39399;55;0;0;3;3;5;1;2694480,48;A
2021;65639;2022;PRD;260792;57199;70;0;0;3;3;5;4;227202,72;A
2021;65644;2022;PRD;260768;59453;20;23;934;3;3;5;1;3203,9;A
2017;58305;2018;PRD;295252;66621;20;27;210;3;3;5;1;587450;A
2021;65645;2023;PRD;169175;4819;21;0;0;3;3;5;1;74762,6;A
2021;65645;2023;PRD;169175;7264;35;0;0;3;3;5;1;352273,78;A
2021;65645;2023;PRD;169175;10531;40;0;0;3;3;5;1;150167,74;A
2021;65645;2023;PRD;169175;10534;40;0;0;3;3;5;4;21760;A
2021;65645;2023;PRD;169175;24213;55;0;0;3;3;5;1;1135732,8;A
2021;65645;2023;PRD;169175;28132;20;27;210;3;3;5;1;987181,76;A
2020;37067;2023;PRD;143926;31826;20;23;0;3;9;6;14;210381,11;A
